iter	Logloss
0	0.6862832346
1	0.67694221
2	0.6675187388
3	0.6588270126
4	0.6519318858
5	0.6436194758
6	0.639209132
7	0.634679056
8	0.6283203863
9	0.6239236401
10	0.6202072636
11	0.6163097505
12	0.6108301224
13	0.6074556535
14	0.6030876406
15	0.599200341
16	0.5967089745
17	0.5939767899
18	0.5913853184
19	0.5880697927
20	0.5852827257
21	0.5817943081
22	0.5798030976
23	0.576544977
24	0.5752959713
25	0.5731260238
26	0.5706387181
27	0.5681394762
28	0.5667171478
29	0.5648608669
30	0.5633963923
31	0.5610950839
32	0.5590328093
33	0.557851976
34	0.5566202594
35	0.5553458429
36	0.5536848499
37	0.5523063291
38	0.5503776304
39	0.5488066519
40	0.5475121775
41	0.5460350898
42	0.5440929782
43	0.5424357999
44	0.5411129613
45	0.5405714589
46	0.5393151929
47	0.5383383228
48	0.5375019812
49	0.5360376297
50	0.5348142193
51	0.5334602479
52	0.5327777863
53	0.5318563523
54	0.5307798078
55	0.5295701796
56	0.5288020718
57	0.5278165264
58	0.5270341442
59	0.5257415771
60	0.5249991263
61	0.5240373919
62	0.5229831819
63	0.5222997973
64	0.5212003646
65	0.5200918874
66	0.5191798056
67	0.5184268336
68	0.5177166231
69	0.5159405124
70	0.5151045092
71	0.5141777531
72	0.5139093707
73	0.5127790513
74	0.5120832997
75	0.5112232393
76	0.5101435261
77	0.5097032362
78	0.5092422731
79	0.5084568147
80	0.507811977
81	0.5068176023
82	0.5059782459
83	0.5052016166
84	0.5045831127
85	0.5037770733
86	0.5025935327
87	0.5018452367
88	0.5012722938
89	0.5005117232
90	0.4999433641
91	0.4995469124
92	0.4984827042
93	0.497922159
94	0.4959666652
95	0.4950972219
96	0.4943239766
97	0.4938819332
98	0.4932965002
99	0.4928559334
100	0.4921958985
101	0.4915818245
102	0.4905178624
103	0.4893765603
104	0.4888262595
105	0.4881098347
106	0.4874184516
107	0.4867115021
108	0.4860474986
109	0.4856029634
110	0.4848951217
111	0.4845099911
112	0.4837072126
113	0.4832302217
114	0.4823396744
115	0.4816892378
116	0.4809308206
117	0.4801449314
118	0.4797492489
119	0.4794359515
120	0.4789946464
121	0.4784542822
122	0.4778277489
123	0.4775892073
124	0.4768800428
125	0.4765698218
126	0.4759154781
127	0.4756216849
128	0.4746757015
129	0.4744522033
130	0.4741515498
131	0.4737673113
132	0.4728364944
133	0.4721082257
134	0.4714872299
135	0.470900874
136	0.4700478277
137	0.4694098196
138	0.4691481129
139	0.4686059337
140	0.4680300682
141	0.4674008277
142	0.466929405
143	0.4664628429
144	0.4654632076
145	0.4647392765
146	0.4643040626
147	0.4638396848
148	0.4635486603
149	0.4626553443
150	0.4622715981
151	0.4613952944
152	0.4611143604
153	0.4604247924
154	0.4597259029
155	0.4593080705
156	0.4588477842
157	0.4586657247
158	0.4579094918
159	0.457207649
160	0.4566495342
161	0.4558795806
162	0.455202841
163	0.4545542809
164	0.4537130787
165	0.4532769726
166	0.4526010329
167	0.4520221218
168	0.451327047
169	0.45069593
170	0.4501613802
171	0.449883984
172	0.4492275484
173	0.4487205013
174	0.4484627939
175	0.4479565159
176	0.4477125906
177	0.4467706988
178	0.4459353416
179	0.4454052525
180	0.4447071322
181	0.4441670449
182	0.4435118398
183	0.4428471596
184	0.4423471881
185	0.441575881
186	0.4409538084
187	0.440420766
188	0.4398539758
189	0.4392818328
190	0.4388273301
191	0.4386410252
192	0.4376245622
193	0.4372902839
194	0.4368341815
195	0.4357611441
196	0.4355976658
197	0.4350851736
198	0.4346902294
199	0.4339794036
200	0.433296019
201	0.4328552062
202	0.4322501152
203	0.431319329
204	0.4300673393
205	0.4293909381
206	0.4283281142
207	0.4279891599
208	0.427349429
209	0.4267522135
210	0.4266023636
211	0.4262141258
212	0.4254008262
213	0.4253222558
214	0.424538397
215	0.4241712632
216	0.4234311504
217	0.4228634988
218	0.422038509
219	0.4219691676
220	0.4213796739
221	0.4204670691
222	0.4195873199
223	0.4194873379
224	0.418998226
225	0.4185556289
226	0.418099065
227	0.4173873163
228	0.4166399125
229	0.4160675541
230	0.4159052757
231	0.4152082628
232	0.4146823268
233	0.4140636075
234	0.4139502741
235	0.4130968278
236	0.4123533926
237	0.4116064502
238	0.4105952478
239	0.4099597008
240	0.4093319678
241	0.4083969055
242	0.4070896026
243	0.4062546146
244	0.405495859
245	0.4048006304
246	0.4040921119
247	0.4032692448
248	0.4029529018
249	0.4023814048
250	0.4015256205
251	0.400937911
252	0.4002877205
253	0.3997146853
254	0.3988897262
255	0.3984017834
256	0.3977667901
257	0.3968856565
258	0.3963659348
259	0.3955749389
260	0.3955265168
261	0.3954528686
262	0.3948446089
263	0.3942473627
264	0.3937844
265	0.3931370397
266	0.3926859825
267	0.3918310288
268	0.3911117431
269	0.3906906497
270	0.3901801571
271	0.3894192788
272	0.3893042534
273	0.3886780893
274	0.388044911
275	0.3873423915
276	0.386731763
277	0.3861679262
278	0.3855233654
279	0.3849917381
280	0.3843752338
281	0.3838136119
282	0.3830435661
283	0.3823402159
284	0.3815672475
285	0.3809266244
286	0.3803926899
287	0.3797000762
288	0.3789113568
289	0.3783914197
290	0.3783207555
291	0.3782364938
292	0.3777211712
293	0.376901319
294	0.3761940002
295	0.3753947289
296	0.3753291715
297	0.3746726128
298	0.3745918274
299	0.3740859185
300	0.3736355689
301	0.3731488259
302	0.3726156912
303	0.3722507108
304	0.3717461863
305	0.3711689365
306	0.3707234783
307	0.3700417549
308	0.3693702144
309	0.3688257894
310	0.3679498242
311	0.3673143694
312	0.3669314538
313	0.3663397758
314	0.365729455
315	0.3650888012
316	0.3649864197
317	0.3643281998
318	0.3639917066
319	0.363946484
320	0.3633950756
321	0.3627013545
322	0.362387934
