iter	Logloss
323	0.3616392074
324	0.3611675386
325	0.3605092879
326	0.3600222065
327	0.3594933787
328	0.3587193028
329	0.3581828456
330	0.3577633519
331	0.3577088694
332	0.3576553099
333	0.3569778935
334	0.3567176942
335	0.3562757431
336	0.3556895717
337	0.3552588186
338	0.3548394788
339	0.3542615214
340	0.3537440146
341	0.353703222
342	0.3536625524
343	0.3532733302
344	0.3528402082
345	0.3523997645
346	0.3518405422
347	0.351021859
348	0.3504721119
349	0.3500088107
350	0.3494526955
351	0.3490532906
352	0.3487415006
353	0.3484889
354	0.348071006
355	0.3476160419
356	0.3469301654
357	0.3465609397
358	0.346104222
359	0.3457575152
360	0.3452211503
361	0.344747328
362	0.3443408781
363	0.3440073075
364	0.3436342055
365	0.3429955513
366	0.3429598962
367	0.3424525107
368	0.3420994359
369	0.3413979315
370	0.3409618255
371	0.3406194564
372	0.3400072282
373	0.3394327471
374	0.3389964565
375	0.3382855077
376	0.337704074
377	0.3372204688
378	0.3367924229
379	0.3360712605
380	0.3357517489
381	0.3357160937
382	0.3353317015
383	0.3348378827
384	0.3342023665
385	0.3336500968
386	0.3331761514
387	0.3324242869
388	0.3318759241
389	0.331383982
390	0.3306906915
391	0.330060159
392	0.3296809658
393	0.3296212227
394	0.3288963687
395	0.3285294502
396	0.3277948441
397	0.3273273283
398	0.3268208658
399	0.3264435184
400	0.3260934584
401	0.3257326003
402	0.3252584396
403	0.324832824
404	0.3244609217
405	0.324020878
406	0.3235172764
407	0.3231010745
408	0.3226344201
409	0.3219550963
410	0.3215613519
411	0.3211630852
412	0.3206880631
413	0.3206319194
414	0.3200137538
415	0.3196388675
416	0.3192117753
417	0.3185946557
418	0.318561554
419	0.3181947277
420	0.3176595319
421	0.3173724759
422	0.316883764
423	0.3164827901
424	0.3160242265
425	0.3156727514
426	0.3152113576
427	0.3145801175
428	0.3140781156
429	0.3135087413
430	0.3128803622
431	0.3123925117
432	0.3123611327
433	0.3118063404
434	0.3115079018
435	0.3110279575
436	0.310763759
437	0.3104538148
438	0.3100598551
439	0.3094042809
440	0.3089715896
441	0.3084220271
442	0.3078431468
443	0.3071326902
444	0.3068221923
445	0.3064987736
446	0.3058811311
447	0.305428105
448	0.3050164253
449	0.3050068886
450	0.3044928889
451	0.3041322462
452	0.3036548245
453	0.3031179982
454	0.3026552816
455	0.3020641265
456	0.3016317737
457	0.3013283207
458	0.300944236
459	0.3004662914
460	0.3003051512
461	0.2999084227
462	0.299484899
463	0.299114135
464	0.2988579965
465	0.2986087184
466	0.298278501
467	0.2975521703
468	0.2971092655
469	0.2967668964
470	0.2962958428
471	0.2959352924
472	0.2956211336
473	0.2953161424
474	0.2949121229
475	0.2945280075
476	0.294254303
477	0.29386545
478	0.2934087015
479	0.2929391861
480	0.292915898
481	0.2923882392
482	0.2920822636
483	0.2916574786
484	0.2912964052
485	0.2909067831
486	0.2904100726
487	0.2899285901
488	0.2895224787
489	0.2892931046
490	0.2888138371
491	0.2885182596
492	0.2882248663
493	0.2878332138
494	0.2872815286
495	0.2868571435
496	0.2865041302
497	0.2859911457
498	0.2856248425
499	0.285334987
