iter	Passed	Remaining
422	3194	581
423	3201	573
424	3208	566
425	3215	558
426	3223	551
427	3231	543
428	3238	535
429	3247	528
430	3254	521
431	3263	513
432	3269	505
433	3277	498
434	3283	490
435	3291	483
436	3298	475
437	3305	467
438	3313	460
439	3320	452
440	3328	445
441	3335	437
442	3342	430
443	3349	422
444	3357	414
445	3363	407
446	3371	399
447	3378	392
448	3385	384
449	3392	376
450	3399	369
451	3406	361
452	3414	354
453	3421	346
454	3428	339
455	3436	331
456	3444	324
457	3451	316
458	3459	309
459	3467	301
460	3474	293
461	3481	286
462	3488	278
463	3495	271
464	3502	263
465	3509	256
466	3516	248
467	3525	241
468	3532	233
469	3540	225
470	3547	218
471	3555	210
472	3562	203
473	3569	195
474	3576	188
475	3583	180
476	3590	173
477	3598	165
478	3606	158
479	3613	150
480	3620	143
481	3628	135
482	3636	127
483	3643	120
484	3650	112
485	3658	105
486	3665	97
487	3673	90
488	3680	82
489	3687	75
490	3694	67
491	3701	60
492	3709	52
493	3716	45
494	3724	37
495	3731	30
496	3739	22
497	3747	15
498	3755	7
499	3762	0
